State,Governor,Party
Aguascalientes,María Teresa Jiménez Esquivel,PAN
Baja California,Marina del Pilar Ávila Olmeda,Morena
Baja California Sur,Víctor Manuel Castro Cosío,Morena
Campeche,Layda Elena Sansores,Morena
Chiapas,Eduardo Ramírez Aguilar,Morena
Chihuahua,María Eugenia Campos Galván,PAN
Mexico City,Clara Brugada,Morena
Coahuila,Manolo Jiménez Salinas,PRI
Colima,Indira Vizcaíno Silva,Morena
Durango,Esteban Villegas Villarreal,PRI
Guanajuato,Libia García Muñoz Ledo,PAN
Guerrero,Evelyn Salgado Pineda,Morena
Hidalgo,Julio Menchaca,Morena
Jalisco,Pablo Lemus Navarro,MC
State of Mexico,Delfina Gómez Álvarez,Morena
Michoacán,Alfredo Ramírez Bedolla,Morena
Morelos,Margarita González Saravia,Morena
Nayarit,Miguel Ángel Navarro Quintero,Morena
Nuevo León,Samuel García,MC
Oaxaca,Salomón Jara Cruz,Morena
Puebla,Alejandro Armenta Mier,Morena
Querétaro,Mauricio Kuri González,PAN
Quintana Roo,Mara Lezama Espinosa,Morena
San Luis Potosí,Ricardo Gallardo Cardona,PVEM
Sinaloa,Rubén Rocha Moya,Morena
Sonora,Alfonso Durazo Montaño,Morena
Tabasco,Javier May Rodríguez,Morena
Tamaulipas,Américo Villarreal Anaya,Morena
Tlaxcala,Lorena Cuéllar Cisneros,Morena
Veracruz,Rocío Nahle García,Morena
Yucatán,Joaquín Díaz Mena,Morena
Zacatecas,David Monreal Ávila,Morena
