"country_name","v2eltrnout","year"
"Mexico",89.75,1946
"Mexico",72.31,1949
"Mexico",74.15,1952
"Mexico",69.24,1955
"Mexico",70.21,1958
"Mexico",68.43,1961
"Mexico",69.33,1964
"Mexico",62.82,1967
"Mexico",64.26,1970
"Mexico",60.3,1973
"Mexico",64.55,1976
"Mexico",49.43,1979
"Mexico",74.84,1982
"Mexico",51.82,1985
"Mexico",50.14,1988
"Mexico",61.11,1991
"Mexico",78.5,1994
"Mexico",57.69,1997
"Mexico",63.96,2000
"Mexico",61.68,2003
"Mexico",58.55,2006
"Mexico",44.61,2009
"Mexico",63.14,2012
"Mexico",47.72,2015
"Mexico",63.21,2018
"Mexico",52.66,2021
"Mexico",60.54,2024
"United Kingdom",70.4,1832
"United Kingdom",65,1835
"United Kingdom",63.6,1837
"United Kingdom",63.4,1841
"United Kingdom",53.4,1847
"United Kingdom",57.9,1852
"United Kingdom",58.9,1857
"United Kingdom",63.7,1859
"United Kingdom",62.5,1865
"United Kingdom",68.5,1868
"United Kingdom",66.4,1874
"United Kingdom",72.2,1880
"United Kingdom",81.2,1885
"United Kingdom",74.2,1886
"United Kingdom",77.4,1892
"United Kingdom",78.4,1895
"United Kingdom",72.55,1945
"United Kingdom",83.61,1950
"United Kingdom",81.89,1951
"United Kingdom",76.78,1955
"United Kingdom",78.71,1959
"United Kingdom",77.17,1964
"United Kingdom",75.96,1966
"United Kingdom",72.15,1970
"United Kingdom",72.93,1974
"United Kingdom",76,1979
"United Kingdom",72.81,1983
"United Kingdom",75.42,1987
"United Kingdom",77.83,1992
"United Kingdom",71.46,1997
"United Kingdom",59.38,2001
"United Kingdom",61.36,2005
"United Kingdom",65.77,2010
"United Kingdom",66.12,2015
"United Kingdom",68.93,2017
"United Kingdom",67.3,2019
"United Kingdom",59.76,2024
